"id","alert_id","incident_id","model_name","description","status","severity","score","created_at","updated_at","cust_name","date_fetch"
92,WB-21683-20251216-00004,IC-21683-20251205-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-16 14:15:37.000,2025-12-17 00:55:50.000,Felcra,2025-12-17 12:49:18.529
93,WB-21683-20251216-00005,IC-21683-20251205-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-16 14:15:32.000,2025-12-17 00:55:50.000,Felcra,2025-12-17 12:49:18.529
96,WB-21683-20251216-00001,IC-21683-20251216-00000,Possible Disabling of Antivirus Software,An attempt to disable antivirus software was detected.,Closed,medium,40,2025-12-16 01:28:57.000,2025-12-16 09:08:42.000,Felcra,2025-12-16 22:16:01.433
97,WB-21683-20251216-00000,IC-21683-20251216-00000,Possible Disabling of Antivirus Software,An attempt to disable antivirus software was detected.,Open,medium,40,2025-12-16 00:53:51.000,2025-12-16 09:08:42.000,Felcra,2025-12-16 22:16:01.433
98,WB-21683-20251215-00013,IC-21683-20251205-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-15 21:05:23.000,2025-12-16 03:48:47.000,Felcra,2025-12-16 22:16:01.433
99,WB-21683-20251215-00012,IC-21683-20251205-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-15 19:40:47.000,2025-12-16 03:48:47.000,Felcra,2025-12-16 22:16:01.433
100,WB-21683-20251215-00010,IC-21683-20251205-00000,Suspicious Deletion of Volume Shadow Copy,"Volume shadow copies were deleted, a possible sign of ransomware behavior.",Open,high,62,2025-12-15 14:35:18.000,2025-12-16 03:48:47.000,Felcra,2025-12-16 22:16:01.433
101,WB-21541-20251211-00000,IC-21541-20251211-00000,Suspicious Encryption Activity,Detects appending of filename extensions on possible ransomware encrypted files.,Open,medium,39,2025-12-11 07:30:13.000,2025-12-11 10:10:26.000,YPPB,2025-12-16 22:16:37.523
102,WB-21541-20251209-00002,IC-21541-20251209-00000,Possible Disabling of Antivirus Software,An attempt to disable antivirus software was detected.,Open,medium,42,2025-12-09 08:01:54.000,2025-12-09 08:02:01.000,YPPB,2025-12-16 22:16:37.523
103,WB-21541-20251209-00001,IC-21541-20251208-00000,Possible Disabling of Antivirus Software,An attempt to disable antivirus software was detected.,Open,medium,32,2025-12-09 05:13:02.000,2025-12-09 05:13:07.000,YPPB,2025-12-16 22:16:37.523
104,WB-21541-20251209-00000,IC-21541-20251208-00000,Possible Disabling of Antivirus Software,An attempt to disable antivirus software was detected.,Open,medium,32,2025-12-09 03:16:11.000,2025-12-09 05:13:07.000,YPPB,2025-12-16 22:16:37.523
105,WB-21541-20251208-00000,IC-21541-20251208-00000,Possible Disabling of Antivirus Software,An attempt to disable antivirus software was detected.,Open,medium,38,2025-12-08 07:34:09.000,2025-12-09 05:13:07.000,YPPB,2025-12-16 22:16:37.523
